Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
24-February-2023,55.50,56.70,54.00,54.45,55.503176569104794187,5982870,18265,332068290.00,1514861,25.32,2.70,-1.05
23-February-2023,52.90,56.00,52.80,54.95,54.717031598015103307,8149341,21549,445907749.00,2487392,30.52,3.20,2.05
22-February-2023,54.75,55.45,52.60,53.00,53.850967766632367913,4780543,16051,257436867.00,1202947,25.16,2.85,-1.75
21-February-2023,54.60,56.15,54.45,55.35,55.381397144652110972,4237242,12302,234664382.00,686509,16.20,1.70,0.75
20-February-2023,51.85,55.00,51.80,54.50,53.494411145476249834,7805714,21964,417562074.00,3402776,43.59,3.20,2.65
17-February-2023,51.40,52.15,50.75,51.85,51.692293100614317247,4422959,12244,228632893.00,1141594,25.81,1.40,0.45
16-February-2023,50.75,51.70,50.60,51.40,51.128878028382424263,6059877,12057,309834712.00,2828758,46.68,1.10,0.65
15-February-2023,50.50,50.90,49.75,50.25,50.406240085510917810,3527035,11643,177784573.00,789767,22.39,1.15,-0.25
14-February-2023,51.70,52.45,49.95,50.40,50.796388491160884136,5372879,17034,272922849.00,1283127,23.88,2.50,-1.30
13-February-2023,53.00,53.65,51.30,51.80,52.351839739881991064,6557639,19894,343304466.00,1608029,24.52,2.35,-1.20
10-February-2023,53.00,54.15,50.35,53.30,52.804674152508298360,12559710,32733,663211394.00,3125498,24.89,3.80,0.30
9-February-2023,54.55,56.75,53.45,54.40,55.341046960194918345,9078263,25597,502400579.00,1429995,15.75,3.30,-0.15
8-February-2023,51.00,55.30,51.00,54.25,53.164008468042443817,23473666,54074,1247954178.00,7401311,31.53,4.30,3.25
7-February-2023,48.00,51.00,47.50,49.55,48.669141308606289409,6090174,17713,296403539.00,2034044,33.40,3.50,1.55
6-February-2023,48.80,49.05,47.50,47.75,48.150683652753945428,3310160,16687,159386467.00,1173033,35.44,1.55,-1.05
3-February-2023,48.15,49.30,47.70,48.80,48.487324114552391465,4054983,14019,196615275.00,1766468,43.56,1.60,0.65
2-February-2023,48.15,48.80,47.20,47.55,47.940853282502663003,1819374,7052,87222342.00,355710,19.55,1.60,-0.60
1-February-2023,49.80,50.95,47.10,48.10,49.273130170658519797,5552726,25097,273600191.00,1937045,34.88,3.85,-1.70
31-January-2023,47.80,50.20,46.40,49.75,48.286318870256142367,5733335,24113,276841642.00,1933452,33.72,3.80,1.95
30-January-2023,47.90,48.50,46.65,47.40,47.553177870330169042,4477464,22245,212917642.00,1518689,33.92,1.85,-0.50
27-January-2023,48.90,51.80,46.65,46.95,48.728732296670953883,9564091,41875,466046030.00,2971191,31.07,5.15,-1.95
25-January-2023,51.85,52.00,44.35,47.80,47.893027490039711473,15422495,61767,738629977.00,4972025,32.24,7.65,-4.05
24-January-2023,50.90,52.25,50.65,52.10,51.494658469885644269,2745468,12815,141376937.00,1081773,39.40,1.60,1.20
23-January-2023,51.80,51.90,50.60,51.00,51.106428163629785623,1912708,12248,97751674.00,619955,32.41,1.30,-0.80
20-January-2023,51.30,52.00,50.50,51.50,51.152382853926764443,2764668,12010,141419356.00,1074278,38.86,1.50,0.20
19-January-2023,50.40,51.85,50.10,51.10,51.232317454898054907,3643579,12517,186668996.00,1209456,33.19,1.75,0.70
18-January-2023,50.45,51.40,48.85,51.00,50.912948886057700614,6771401,20506,344751993.00,2902414,42.86,2.55,0.55
17-January-2023,52.90,53.00,50.00,50.15,50.876019557662443891,7890309,35826,401427515.00,4278455,54.22,3.00,-2.75
16-January-2023,53.95,54.25,52.50,52.75,53.339557315787792647,2504720,14901,133600656.00,1072385,42.81,1.75,-1.20
13-January-2023,54.00,54.50,53.05,53.25,53.554212363734349180,2271207,13616,121632702.00,879632,38.73,1.45,-0.75
12-January-2023,54.75,55.00,53.00,53.75,53.801991162813237390,3219124,17811,173195281.00,1266850,39.35,2.00,-1.00
11-January-2023,55.05,56.15,54.15,54.35,55.120367217730534316,2528745,12672,139385353.00,784091,31.01,2.00,-0.70
10-January-2023,56.15,56.15,53.80,54.75,54.820946463975695221,3352098,18058,183765185.00,1257036,37.50,2.35,-1.40
9-January-2023,55.75,57.20,55.65,56.00,56.155161133619131581,2445548,11521,137330142.00,774610,31.67,1.55,0.25
6-January-2023,56.20,56.35,55.00,55.30,55.489629202066885162,2529410,15962,140356023.00,1072862,42.42,1.35,-0.90
5-January-2023,57.00,57.00,55.60,56.20,56.220932232869444619,2627498,15125,147720387.00,790227,30.08,1.40,-0.80
4-January-2023,58.55,58.60,56.00,56.35,57.019898671088940303,4486380,11990,255812933.00,2752250,61.35,2.60,-2.20
3-January-2023,59.00,59.50,57.65,58.90,58.876223212695516669,2622091,8671,154378815.00,592118,22.58,1.85,-0.10
2-January-2023,60.60,60.60,59.80,60.25,60.192702227623539570,2302319,10008,138582802.00,954301,41.45,0.80,-0.35
30-December-2022,61.00,61.45,59.05,59.35,59.932946550723785261,3264366,13842,195643073.00,1161435,35.58,2.40,-1.65
29-December-2022,59.50,61.50,59.05,60.90,60.053274934549158196,2340688,9822,140565980.00,849850,36.31,2.45,1.40
28-December-2022,58.60,60.80,57.90,60.20,59.433815560377532377,6054686,15665,359853091.00,2079208,34.34,2.90,1.60
27-December-2022,59.60,60.65,58.50,58.95,59.286040205513906954,4337614,16285,257159958.00,1198726,27.64,2.15,-0.65
26-December-2022,53.80,59.75,53.50,58.20,57.265630441002390846,3638461,12964,208358763.00,877109,24.11,6.25,4.40
23-December-2022,57.80,58.45,53.15,53.60,55.583293965758519983,7520995,38280,418041676.00,2412362,32.08,5.30,-4.20
22-December-2022,61.45,62.00,58.55,58.95,60.279770496040363686,4588679,22293,276604517.00,1313958,28.63,3.45,-2.50
21-December-2022,63.00,63.50,60.90,61.35,62.246564753994952396,3123066,15064,194400130.00,1099271,35.20,2.60,-1.65
20-December-2022,62.15,63.15,61.90,62.85,62.344959994621467982,1963361,8583,122405663.00,686638,34.97,1.25,0.70
19-December-2022,62.45,62.80,62.00,62.15,62.274602402663192936,1727250,10156,107563807.00,699007,40.47,0.80,-0.30
16-December-2022,63.85,63.95,61.90,62.15,62.904263408414508867,1513695,5662,95217869.00,682834,45.11,2.05,-1.70
15-December-2022,64.50,65.25,63.80,64.05,64.624315582309492575,1697611,9095,109706949.00,812564,47.87,1.45,-0.45
14-December-2022,64.80,65.40,64.60,65.00,65.020308787772497061,2012774,8009,130871187.00,884440,43.94,0.80,0.20
13-December-2022,64.90,65.20,64.35,64.60,64.701109554263834746,1802075,8065,116596252.00,737067,40.90,0.85,-0.30
12-December-2022,64.05,64.75,63.60,64.40,64.025482971812206349,4118201,11455,263669808.00,2579061,62.63,1.15,0.35
9-December-2022,64.05,64.85,63.95,64.15,64.304958730977559969,2791440,10007,179503434.00,1110787,39.79,0.90,0.10
8-December-2022,64.55,64.80,63.65,63.85,64.031656885234667184,2466067,10998,157906356.00,828954,33.61,1.15,-0.70
7-December-2022,65.00,65.40,64.15,64.45,64.744103091573758203,2505423,9413,162211365.00,712840,28.45,1.25,-0.55
6-December-2022,64.55,65.45,64.45,64.80,64.892091302264894901,4529570,13132,293933270.00,1972149,43.54,1.00,0.25
5-December-2022,68.80,69.00,65.00,65.50,66.221353672644503588,6605009,24990,437392637.00,2174909,32.93,4.00,-3.30
2-December-2022,66.70,68.85,66.50,68.60,67.992822946570796831,8039929,23003,546657469.00,3270794,40.68,2.35,1.90
1-December-2022,66.30,67.15,65.40,66.70,66.283066961303252993,3989095,13241,264409451.00,765863,19.20,1.75,0.40
